,Error
0,596.2008539107685
1,596.2008539107685
2,581.7022387624884
3,564.0263811197763
4,554.6740504408981
5,553.0725944428783
6,544.0930115626803
7,543.7283695872296
8,539.0322326006018
9,534.4212050238586
10,526.1612050316803
11,519.4357748616322
12,462.3260088302138
13,411.1008995536562
14,378.6431828248697
15,351.58912680421014
16,294.4887300598208
17,273.4825306948943
18,235.9283919352107
19,206.68162352755598
20,214.20279244761605
21,228.31909403495374
22,225.59578066610382
23,166.6374205906709
24,216.1452315575321
25,191.70472910442902
26,145.03253742689233
27,49.903031141048295
28,33.59409315373349
29,24.70362187166748
30,33.35485809791719
31,36.2743419478267
32,22.758379954185735
33,25.338086200670038
34,33.7333500802704
35,20.636269665850115
36,41.11862665598883
37,39.579443846788244
38,44.395061642191244
39,64.52930979041295
40,68.28835960953775
41,116.99905870178284
42,80.73310619023866
43,158.73923614960344
44,111.07938511452875
45,97.95984407399246
46,182.47155304963806
47,65.2988858473002
48,189.09162370314354
49,78.76433640734473
50,142.35376650669045
51,146.99988645116005
52,85.98733802497634
53,178.08174477843446
54,156.87672621831183
55,337.8445032998591
56,295.5616566653568
57,136.75685508471116
58,208.9839011865763
59,125.87969857359371
60,160.59872208354133
61,280.34895962693014
62,34.867372571864486
63,254.57852536097786
64,41.84302942039833
65,90.39213495934236
66,136.6919482386551
67,6.420876012247933
68,53.22386687320657
69,43.02958014491112
70,57.402773255062115
71,50.1695016844417
72,250.89158770323294
73,99.32346658743289
74,84.74529585086414
75,190.8054316838171
76,139.01957057866588
77,390.1986955237778
78,424.1166211161433
79,449.55043566560965
80,789.7470740886462
81,307.2213184078235
82,515.2675461456182
83,605.5213649904209
84,531.1429663796623
85,971.1688131302033
86,382.0166483254502
87,628.2173474719664
88,856.4456894287965
89,341.622372518911
90,619.8614804928435
91,486.5808824416513
92,392.6774182141117
93,523.6155919599937
94,211.03685018188736
95,435.51701418056007
96,694.3779336380376
97,291.6693309493491
98,494.42279400791335
99,337.24715620194206
100,239.9447887823451
101,500.9713627380605
102,224.89850981620702
103,191.5657029932155
104,282.061792673699
105,205.29314141690472
106,169.4113658846353
107,289.08618780103893
108,92.28379181402471
109,315.7833097185107
110,106.34841105444812
111,92.37984526799025
112,345.7079916849527
113,76.5865385150646
114,231.222898644292
115,104.8909970060233
116,81.8038368293716
117,309.0274955485549
118,12.709252403607547
119,162.36435811974374
120,164.2713848129982
121,122.20331295865535
122,432.77971985832784
123,149.10118868797878
124,263.0398293232901
125,326.5927528912298
126,155.99671704037246
127,184.7009727222115
128,117.18773110909123
129,182.0550150699263
130,374.55211244303575
131,236.56537282348756
132,184.42186397051012
133,378.88708142505834
134,87.88842973962821
135,546.0349747508404
136,235.26794159463398
137,334.4060375965358
138,599.1586519951635
139,125.13566778075382
140,534.2100723657145
141,332.25846092432334
142,321.67685226865115
143,564.6174132483528
144,139.47126621771977
145,329.375248712018
146,310.89952370720914
147,254.7752794362089
148,500.9020451779514
149,278.26395855632524
150,244.9963623505929
151,291.7116888930982
152,400.9363253807742
153,168.4331516340469
154,385.50094697410236
155,158.39859105112518
156,140.81003303895125
157,325.344021472615
158,137.28324528496256
159,499.2762258036302
160,197.04517671887916
161,175.05085219150038
162,555.2305851585583
163,131.23805452342546
164,394.7973756138705
165,189.67723837335498
166,134.57847655085794
167,608.7148884359268
168,251.4634569692203
169,141.80892900640305
170,127.64745373085002
171,93.1007586805393
172,420.21569627867945
173,597.7169002773983
174,175.76131437343278
175,304.5187732302149
176,170.55199186367733
177,202.08812018013037
178,555.7660347614798
179,163.7994248163146
